NOME,BAIRRO,RPA,REGIÃO,ENDEREÇO,LATITUDE,LONGITUDE,bairro_normalizado
MERCADO ENCRUZILHADA-03,ENCRUZILHADA,2,NORTE,"Mercado da Encruzilhada - R. Dr. José Maria, s/n - box 220 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03662616550316,-34.8922432174038,ENCRUZILHADA
MERCADO ENCRUZILHADA-04,ENCRUZILHADA,2,NORTE,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112479,ENCRUZILHADA
MERCADO ENCRUZILHADA-05,ENCRUZILHADA,2,NORTE,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112479,ENCRUZILHADA
MERCADO ENCRUZILHADA-06,ENCRUZILHADA,2,NORTE,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112479,ENCRUZILHADA
MERCADO ENCRUZILHADA-07,ENCRUZILHADA,2,NORTE,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112479,ENCRUZILHADA
MERCADO ENCRUZILHADA-08,ENCRUZILHADA,2,NORTE,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112479,ENCRUZILHADA
MERCADO MADALENA-01,MADALENA,4,OESTE,"R. Real da Torre, 521 - Madalena, Recife - PE, 50610-000, Brazil",-8.05239831426946,-34.9086483451154,MADALENA
MERCADO MADALENA-02,MADALENA,4,OESTE,"Rua Real da Torre, Mercado da Madalena - Box 61 a 66 - Madalena - Madalena, Recife - PE, 50610-000, Brazil",-8.05222085473404,-34.9085671904131,MADALENA
MERCADO MADALENA-03,MADALENA,4,OESTE,"R. Dr. João Coimbra, 1 - Madalena, Recife - PE, 50610-310, Brazil",-8.05223134230499,-34.9087551984114,MADALENA
MERCADO MADALENA-04,MADALENA,4,OESTE,"R. Real da Torre, 521 - Madalena, Recife - PE, 50610-000, Brazil",-8.05213564320988,-34.9085592464132,MADALENA
