nome_equip_urbano,tipo_equip_urbano,endereco_equip_urbano,codigo_logradouro,lei_equip_urbano,nome_oficial_equip_urbano,area,perimetro,codigo_bairro,nome_bairro,latitude,longitude,area_m2,bairro_normalizado
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"5669,730769","511,9297931",280,Campo Grande,-8.037785157,-34.87559909,5669.730769,CAMPO GRANDE
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"340,637002","83,99881803",108,Santo Amaro,-8.040273354,-34.8790422,340.637002,SANTO AMARO
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"4449,466837","434,4529967",108,Santo Amaro,-8.039557198,-34.87758353,4449.466837,SANTO AMARO
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"1620,032858","174,5500708",280,Campo Grande,-8.039077325,-34.87836625,1620.032858,CAMPO GRANDE
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"1950,603145","201,2370171",272,Torreao,-8.039652709,-34.87960599,1950.603145,TORREAO
,Area Verde,Avenida Gov Agamenon Magalhaes,,,,"4507,611822","436,0795326",272,Torreao,-8.040196208,-34.88078221,4507.611822,TORREAO
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"3928,148486","367,35941",124,Espinheiro,-8.042645879,-34.88604571,3928.148486,ESPINHEIRO
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"10522,42433","834,8573975",108,Santo Amaro,-8.044428742,-34.88808027,10522.42433,SANTO AMARO
Da Avenida Militar,Area Verde,Avenida Militar,,,,"665,7893281","107,0222614",19,Recife,-8.051739587,-34.87140794,665.7893281,RECIFE
Nossa Senhora Da Boa Viagem,Praça,Rua Setubal / Rua Dr Nylo Dornellas Camara / Avenida Boa Viagem / Rua Barao De Souza Leao,66044.0,,Praça da  Boa Viagem,"8407,359778","393,9326088",205,Boa Viagem,-8.132007092,-34.90073518,8407.359778,BOA VIAGEM
Da Rua Potengy,Area Verde,Rua Potengy/ Rua Itanage,,,,"173,6371027","66,95138386",213,Ipsep,-8.105240332,-34.91980071,173.6371027,IPSEP
